"","Country","date","total_cases","new_cases","total_cases_per_million","new_cases_per_million","total_deaths","new_deaths","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","population_size","hospital_beds_per_100k","Obesity_rate","Median_Age","gdp_estimate_ppp","age_adjusted_risk","area","Density_km","Inequality_spatial_transformed","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","StringencyIndex","LegacyStringencyIndex","days_since_outbreak","days_since_deaths_crossed_0.1_per_million","days_since_10_deaths","gov_response_at_0.1_deaths_per_million","deaths_5_day_averages","infections_5_day_averages","peak_deaths_already_occurred_indicator","peak_cases_already_occurred_indicator"
"5950","Latvia",2020-03-10,6,3,3.181,1.59,0,0,0,0,450,59,0.239,0.031,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-25,-44,NA,0,0.883333333333333,1,1
"5951","Latvia",2020-03-11,8,2,4.241,1.06,0,0,0,0,497,47,0.263,0.025,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-24,-43,NA,0,0.9275,1,1
"5952","Latvia",2020-03-12,10,2,5.302,1.06,0,0,0,0,576,79,0.305,0.042,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-23,-42,NA,0,0.954,1,1
"5953","Latvia",2020-03-13,16,6,8.483,3.181,0,0,0,0,703,127,0.373,0.067,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-22,-41,NA,0,1.4842,1,1
"5954","Latvia",2020-03-14,19,3,10.073,1.59,0,0,0,0,1019,316,0.54,0.168,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-21,-40,NA,0,1.6962,1,1
"5955","Latvia",2020-03-15,26,7,13.784,3.711,0,0,0,0,1353,334,0.717,0.177,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,-20,-39,NA,0,2.1204,1,1
"5956","Latvia",2020-03-16,31,5,16.435,2.651,0,0,0,0,1704,351,0.903,0.186,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,-19,-38,NA,0,2.4386,1,1
"5957","Latvia",2020-03-17,36,5,19.086,2.651,0,0,0,0,2199,495,1.166,0.262,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-18,-37,NA,0,2.7568,1,1
"5958","Latvia",2020-03-18,61,25,32.34,13.254,0,0,0,0,2954,755,1.566,0.4,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-17,-36,NA,0,4.7714,1,1
"5959","Latvia",2020-03-19,71,10,37.642,5.302,0,0,0,0,3674,720,1.948,0.382,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,-16,-35,NA,0,5.5138,1,1
"5960","Latvia",2020-03-20,86,15,45.594,7.952,0,0,0,0,4373,699,2.318,0.371,1886202,5.57,23.6,44.4,32986.51,93.5205110797994,64637910831,29.68766333,3.43591912394755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-15,-34,NA,0,6.362,1,1
